"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"18.11.2022","8.127,80","8.107,00","8.127,80","8.048,50","178,69M","1,08%"
"17.11.2022","8.040,70","8.105,10","8.123,20","7.986,10","139,50M","-0,75%"
"16.11.2022","8.101,40","8.175,10","8.188,70","8.075,00","163,76M","-1,06%"
"15.11.2022","8.188,40","8.161,00","8.192,10","8.117,30","182,28M","0,27%"
"14.11.2022","8.166,50","8.123,20","8.210,80","8.110,40","142,67M","0,84%"
"11.11.2022","8.098,10","8.178,70","8.178,70","8.073,80","218,00M","-0,43%"
"10.11.2022","8.133,20","8.004,00","8.176,00","7.975,10","256,12M","1,15%"
"09.11.2022","8.040,40","7.983,40","8.061,60","7.968,10","161,11M","0,52%"
"08.11.2022","7.998,90","7.942,30","8.005,80","7.922,00","120,20M","0,46%"
"07.11.2022","7.962,30","7.910,50","7.990,00","7.893,20","138,36M","0,25%"
"04.11.2022","7.942,70","7.908,50","8.006,00","7.830,60","197,13M","0,94%"
"03.11.2022","7.868,90","7.897,50","7.897,50","7.798,40","140,56M","-1,25%"
"02.11.2022","7.968,60","8.017,80","8.018,20","7.960,60","144,93M","-0,38%"
"01.11.2022","7.999,00","8.011,80","8.073,90","7.971,80","146,53M","0,53%"
"31.10.2022","7.956,50","7.913,60","7.958,10","7.871,70","164,83M","0,51%"
"28.10.2022","7.916,50","7.859,60","7.916,50","7.832,60","185,93M","-0,06%"
"27.10.2022","7.921,10","7.846,90","7.944,30","7.798,90","202,34M","0,64%"
"26.10.2022","7.870,60","7.826,40","7.877,90","7.756,60","186,58M","0,97%"
"25.10.2022","7.794,90","7.716,50","7.803,60","7.675,20","149,34M","1,49%"
"24.10.2022","7.680,50","7.612,20","7.739,60","7.570,00","169,75M","1,79%"
"21.10.2022","7.545,60","7.586,40","7.592,60","7.449,60","245,06M","-1,29%"
"20.10.2022","7.644,40","7.584,70","7.660,70","7.552,10","178,42M","0,80%"
"19.10.2022","7.583,60","7.630,40","7.642,60","7.530,50","131,87M","-0,36%"
"18.10.2022","7.611,30","7.613,00","7.692,30","7.594,60","149,75M","0,72%"
"17.10.2022","7.557,10","7.416,10","7.589,10","7.413,40","166,45M","2,37%"
"14.10.2022","7.382,50","7.467,90","7.503,40","7.371,60","187,97M","0,46%"
"13.10.2022","7.348,80","7.234,10","7.385,30","7.189,60","195,47M","1,21%"
"12.10.2022","7.261,10","7.356,30","7.359,70","7.239,00","135,44M","-1,29%"
"11.10.2022","7.355,90","7.369,30","7.410,30","7.315,50","130,87M","-0,78%"
"10.10.2022","7.413,50","7.389,50","7.441,40","7.372,90","114,40M","-0,31%"
"07.10.2022","7.436,90","7.463,90","7.517,50","7.412,50","133,00M","-0,99%"
"06.10.2022","7.511,10","7.597,30","7.638,80","7.482,10","118,07M","-0,91%"
"05.10.2022","7.579,90","7.655,60","7.678,40","7.537,90","130,26M","-1,52%"
"04.10.2022","7.696,60","7.548,50","7.699,90","7.529,20","199,97M","3,14%"
"03.10.2022","7.462,00","7.327,50","7.472,90","7.288,50","155,77M","1,29%"
"30.09.2022","7.366,80","7.345,60","7.395,10","7.318,50","186,03M","0,91%"
"29.09.2022","7.300,10","7.407,40","7.416,90","7.242,20","185,71M","-1,91%"
"28.09.2022","7.442,20","7.380,70","7.448,40","7.273,00","217,52M","-0,05%"
"27.09.2022","7.445,70","7.564,30","7.587,60","7.436,10","199,71M","-0,84%"
"26.09.2022","7.508,50","7.534,20","7.589,20","7.473,50","190,14M","-0,99%"
"23.09.2022","7.583,50","7.770,80","7.770,80","7.527,50","215,67M","-2,46%"
"22.09.2022","7.774,70","7.776,30","7.897,10","7.753,60","182,96M","-1,24%"
"21.09.2022","7.872,20","7.803,40","7.896,70","7.790,50","157,20M","-0,01%"
"20.09.2022","7.873,10","8.020,80","8.064,10","7.873,10","157,29M","-1,50%"
"19.09.2022","7.993,20","7.957,80","8.023,40","7.911,00","110,51M","0,11%"
"16.09.2022","7.984,70","7.994,40","8.039,20","7.962,20","329,45M","-1,25%"
"15.09.2022","8.085,50","8.051,90","8.125,40","8.024,20","229,94M","0,37%"
"14.09.2022","8.055,60","8.070,30","8.124,50","8.024,00","160,07M","-0,10%"
"13.09.2022","8.064,00","8.229,00","8.235,80","8.054,70","192,03M","-1,59%"
"12.09.2022","8.194,30","8.087,80","8.212,60","8.077,40","173,42M","2,01%"
"09.09.2022","8.033,10","7.920,50","8.063,80","7.918,60","189,94M","1,47%"
"08.09.2022","7.916,80","7.902,30","7.933,30","7.772,70","206,75M","0,78%"
"07.09.2022","7.855,90","7.791,10","7.880,20","7.784,40","147,01M","0,17%"
"06.09.2022","7.842,20","7.868,00","7.935,90","7.813,60","125,30M","-0,26%"
"05.09.2022","7.862,70","7.801,30","7.867,80","7.765,50","119,38M","-0,88%"
"02.09.2022","7.932,20","7.843,80","7.943,40","7.796,70","121,21M","1,62%"
"01.09.2022","7.806,00","7.838,80","7.849,40","7.797,00","132,47M","-1,02%"
"31.08.2022","7.886,10","7.994,80","7.996,40","7.866,60","228,02M","-1,17%"
"30.08.2022","7.979,80","8.004,50","8.105,20","7.968,60","158,86M","-0,12%"
"29.08.2022","7.989,60","7.970,90","8.005,00","7.933,40","103,31M","-0,92%"
"26.08.2022","8.063,90","8.229,70","8.239,60","8.044,10","120,27M","-1,51%"
"25.08.2022","8.187,50","8.230,00","8.263,00","8.166,30","88,85M","-0,15%"
"24.08.2022","8.199,40","8.196,90","8.224,70","8.161,80","82,60M","-0,33%"
"23.08.2022","8.226,30","8.254,90","8.272,60","8.205,50","102,24M","-0,71%"
"22.08.2022","8.284,80","8.291,60","8.300,90","8.213,60","125,08M","-0,64%"
"19.08.2022","8.338,10","8.395,00","8.408,70","8.320,90","145,36M","-1,09%"
"18.08.2022","8.430,30","8.440,70","8.470,10","8.392,60","88,54M","-0,05%"
"17.08.2022","8.434,80","8.520,20","8.540,00","8.426,50","113,54M","-0,91%"
"16.08.2022","8.511,90","8.448,70","8.527,30","8.440,40","118,72M","1,01%"
"15.08.2022","8.427,00","8.423,90","8.429,30","8.384,40","82,28M","0,32%"
"12.08.2022","8.400,40","8.383,50","8.453,00","8.371,40","118,97M","0,24%"
"11.08.2022","8.380,00","8.386,00","8.420,40","8.368,90","104,91M","0,33%"
"10.08.2022","8.352,80","8.299,60","8.367,20","8.295,90","131,02M","0,49%"
"09.08.2022","8.311,90","8.260,00","8.339,60","8.245,60","115,02M","0,48%"
"08.08.2022","8.272,50","8.220,90","8.294,40","8.193,30","118,57M","1,28%"
"05.08.2022","8.168,00","8.151,20","8.198,00","8.120,50","144,26M","0,08%"
"04.08.2022","8.161,10","8.148,00","8.214,40","8.133,90","135,70M","0,23%"
"03.08.2022","8.142,10","8.092,60","8.161,30","8.066,30","146,69M","0,56%"
"02.08.2022","8.096,90","8.060,60","8.122,50","8.049,80","154,64M","0,15%"
"01.08.2022","8.085,10","8.161,90","8.230,70","8.071,80","162,09M","-0,87%"
"29.07.2022","8.156,20","8.140,30","8.207,80","8.134,10","249,07M","0,88%"
"28.07.2022","8.084,90","8.193,70","8.196,40","7.995,40","250,67M","-0,49%"
"27.07.2022","8.124,40","8.106,50","8.149,70","8.054,20","147,90M","0,68%"
"26.07.2022","8.069,60","8.063,10","8.097,00","8.033,50","129,25M","-0,20%"
"25.07.2022","8.085,60","8.021,90","8.103,40","8.015,70","124,36M","0,42%"
"22.07.2022","8.051,60","8.009,40","8.085,30","7.999,30","181,04M","0,49%"
"21.07.2022","8.012,70","7.981,60","8.105,70","7.970,30","218,62M","-0,20%"
"20.07.2022","8.028,90","8.156,80","8.173,30","7.989,60","176,08M","-1,18%"
"19.07.2022","8.125,10","7.920,40","8.161,20","7.912,70","201,69M","2,03%"
"18.07.2022","7.963,10","8.004,70","8.030,10","7.926,80","156,06M","0,22%"
"15.07.2022","7.945,90","7.821,30","7.969,30","7.806,20","197,82M","1,81%"
"14.07.2022","7.804,30","7.903,80","7.922,20","7.764,90","197,27M","-1,77%"
"13.07.2022","7.944,90","7.991,30","8.002,60","7.891,50","198,61M","-0,87%"
"12.07.2022","8.014,80","8.029,00","8.071,30","7.893,10","365,80M","-0,62%"
"11.07.2022","8.065,20","7.994,40","8.099,80","7.980,40","130,23M","-0,43%"
"08.07.2022","8.100,30","8.099,00","8.137,90","8.034,10","147,63M","-0,27%"
"07.07.2022","8.122,50","8.026,60","8.128,90","7.998,60","200,24M","2,19%"
"06.07.2022","7.948,60","8.040,50","8.061,70","7.939,70","249,44M","-0,14%"
"05.07.2022","7.959,40","8.191,20","8.209,50","7.959,40","193,25M","-2,48%"
"04.07.2022","8.161,80","8.226,20","8.240,40","8.161,80","117,45M","-0,17%"
"01.07.2022","8.176,10","8.043,00","8.206,90","8.027,30","150,84M","0,96%"
"30.06.2022","8.098,70","8.094,80","8.117,20","7.994,20","222,96M","-1,09%"
"29.06.2022","8.188,00","8.236,30","8.262,90","8.159,00","139,28M","-1,56%"
"28.06.2022","8.317,50","8.292,00","8.374,80","8.278,60","127,86M","0,91%"
"27.06.2022","8.242,60","8.266,10","8.309,90","8.185,50","132,60M","-0,02%"
"24.06.2022","8.244,10","8.129,50","8.262,30","8.108,50","174,31M","1,70%"
"23.06.2022","8.106,40","8.097,50","8.172,90","8.034,30","195,48M","-0,48%"
"22.06.2022","8.145,40","8.158,30","8.193,40","8.066,60","162,16M","-1,10%"
"21.06.2022","8.235,60","8.324,50","8.361,40","8.222,80","157,76M","-0,61%"
"20.06.2022","8.286,00","8.180,40","8.297,00","8.159,00","143,71M","1,72%"
"17.06.2022","8.145,90","8.107,60","8.236,00","8.025,60","395,31M","0,84%"
"16.06.2022","8.078,10","8.157,50","8.172,10","8.034,70","163,00M","-1,18%"
"15.06.2022","8.174,70","8.201,20","8.242,20","8.097,70","194,10M","1,34%"
"14.06.2022","8.066,40","8.229,20","8.280,40","8.066,40","175,61M","-1,43%"
"13.06.2022","8.183,30","8.312,90","8.312,90","8.159,00","266,91M","-2,47%"
